questions = []
with open("data/questions.txt", "r", encoding="utf-8") as f:
    for line in f:
        qid_str, q_text, q_answer = line.rstrip("\n").split("|", 2)
        questions.append({
            "id": int(qid_str),
            "text": q_text,
            "answer": q_answer,
        })
1|1. Логистические производственные системы и концепции. Традиционная и логистическая концепция.  Толкающая и тянущая система.|Логистика, как хозяйственная деят-ть-это процесс управления движением и хранением сырья, материалов, полуфабрикатов и готовой продукции в хоз-ном обороте организации. Цель- обеспечение конкурентоспособных позиций орг-ции бизнеса на рынке.Толкающая система – это такая организация движения материального потока(МП), при которой материальные ресурсы (МР) подаются с предыдущей операции на последующую в соответствии с заранее сформированным жестким графиком. МР «выталкиваются» с одного звена логистической системы(ЛС) на другое. Каждой операции общим расписанием устанавливается время, к которому она должна быть завершена. Полученный продукт «проталкивается» дальше и становится запасом незавершенного производства на входе следующей операции. То есть такой способ организации движения МП игнорирует то, что в настоящее время делает следующая операция: занята выполнением совсем другой задачи или ожидает поступления продукта для обработки. В результате появляются задержки в работе и рост запасов незавершенного производства. Эволюция: от Традиционной к Логистической концепции 1. Традиционная (разрывная) концепция Эта концепция господствовала в эпоху массового производства и до сих пор встречается на многих предприятиях. Её часто называют "концепцией изоляционизма" или "работа в silos" (в "слонах" или "башнях из слоновой кости"). · Суть: Каждое подразделение компании (закупки, производство, склад, сбыт, транспорт) работает как самостоятельная единица, стремясь к достижению своих собственных, локальных целей. · Ключевые характеристики: · Локальная оптимизация: Отдел закупок стремится закупить побольше и подешевле, не думая о затратах на хранение. Производство хочет выпускать крупные партии для минимизации переналадок оборудования, не учитывая, будет ли такой объем продан. Склад пытается уменьшить свои издержки, не учитывая потребности транспорта. · Высокие запасы: Поскольку нет общей координации, главным буфером против сбоев становятся большие запасы сырья, незавершенного производства и готовой продукции. Это "замороженные" деньги. · Длинные циклы производства: Из-за работы крупными партиями изделия долго находятся в производстве. · Отсутствие гибкости: Система плохо реагирует на изменения спроса. Трудно перестроиться на выпуск новой продукции. · Результат: Общие издержки компании оказываются высокими, несмотря на кажущуюся эффективность каждого отдела в отдельности. Возникают конфликты между подразделениями. Логистическая (интегрированная) концепция Эта современная концепция рассматривает предприятие как единую систему, где все звенья тесно взаимосвязаны. · Суть: Управление сквозным материальным потоком — от поставщика поставщика до потребителя потребителя. Все действия координируются из единого центра для достижения глобальной цели компании. · Ключевые характеристики: · Интеграция: Все участники цепи (внутренние подразделения и внешние партнеры) работают как один слаженный механизм. · Глобальная оптимизация: Принимаются решения, которые могут быть невыгодны для одного звена, но эффективны для системы в целом (например, более дорогая, но быстрая и надежная доставка, которая сокращает общие сроки выполнения заказа). · Ориентация на конечного потребителя: Все процессы настраиваются под требования рынка. Главный лозунг: "производить то, что продается, а не продавать то, что производится". · Снижение общих запасов: Запасы рассматриваются как зло, которое необходимо минимизировать без ущерба для надежности. · Эффективное использование информации: Информация о спросе передается быстро и точно по всей цепи. · Результат: Снижение общих издержек, повышение гибкости, сокращение времени выполнения заказа, повышение удовлетворенности клиентов. Тянущая система – это такая организация движения МП, при которой МР подаются («вытягиваются») на следующую технологическую операцию с предыдущей по мере необходимости, а поэтому жесткий график движения МП отсутствует. Размещение заказов на пополнение запасов МР или готовой продукции (ГП) происходит, когда их количество достигает критического уровня. Тянущая система основана на «вытягивании» продукта последующей операцией с предыдущей операции в тот момент времени, когда последующая операция готова к данной работе. То есть когда в ходе одной операции заканчивается обработка единицы продукции, посылается сигнал-требование на предыдущую операцию. И предыдущая операция отправляет обрабатываемую единицу дальше только тогда, когда получает на это запрос. Толкающая система, представляет собой систему подачи материалов, деталей или узлов в производственный процесс или с предыдущей технологической операции на последующую независимо от того, нужны ли они в данное время и в данном количестве на последующей технологической операции. Толкающая система характерна для традиционной организации производства; она менее способна к гибкой перестройке, к реагированию на колебания спроса. В системе толкающего типа каждый технический агрегат, каждый технологический предел имеет информационные и управляющие связи с центральным органом управления.
2|2. Бережливое производство. Виды потерь. Принципы бережливого производства.|Бережливое производство (англ. lean production) — это философия управления и методология оптимизации бизнес-процессов, направленная на максимальное удовлетворение потребностей клиента при минимальных затратах ресурсов за счет устранения всех видов потерь. Эта система возникла в Японии на основе философии  и предполагает вовлечение каждого сотрудника в постоянное улучшение процессов, сокращение времени выполнения задач, повышение качества продукта и рост конкурентоспособности компании. Семь видов потерь на производстве — это основные категории нежелательных событий или состояний, которые могут возникнуть в процессе производства и привести к снижению эффективности и рентабельности. Эти виды потерь включают перепроизводство, ожидание, ненужную транспортировку, избыточную обработку, излишние запасы, брак и лишние движения. Управление этими видами потерь помогает предприятиям оптимизировать производственные процессы, улучшить качество продукции и снизить издержки. 1. Перепроизводство Перепроизводство возникает, когда выпуск продукции или услуги превышает текущий рыночный спрос. Это приводит к накоплению излишков товаров, как следствие росту затрат на их хранение, а также несет риск потери качества продукции в результате нарушений условий хранения. Для предотвращения перепроизводства необходимо тщательно анализировать спрос и прогнозировать его изменения, чтобы поддерживать оптимальный уровень производства. 2. Ожидание Ожидание возникает, когда рабочие места, оборудование или материалы не доступны в нужный момент времени из-за задержек или неправильной организации производственных процессов. Чтобы уменьшить время ожидания, необходимо оптимизировать логистику, улучшить планирование производства и обеспечить своевременное поступление необходимых ресурсов. 3. Ненужная транспортировка Ненужная транспортировка материалов или готовой продукции может привести к дополнительным затратам на логистику и увеличению времени цикла производства. Оптимизация путей транспортировки, минимизация перемещений и использование автоматизированных систем могут помочь сократить этот вид потерь. 4. Избыточная обработка При избыточной обработке, продукции придаются качества, которые не нужны конечному потребителю, за которые он не готов платить. Избыточная обработка требует дополнительных ресурсов и времени, что в конечном итоге увеличивает затраты и снижает прибыльность. Оптимизация производственных процессов, обучение персонала и внедрение новых технологий могут помочь сократить избыточную обработку. 5. Излишние запасы Создание излишних запасов материалов может приводит к увеличенным затратам на их хранение, и снижает оборачиваемость средств.  Управление запасами и оптимизация цепочек поставок помогают минимизировать этот вид потерь. 6. Брак Производственный брак возникает при производстве продукции низкого качества или с дефектами. Это приводит к дополнительным расходам на исправление ошибок или возврат продукции, а также к потере доверия со стороны клиентов. Развитие системы контроля качества, обучение персонала и постоянное совершенствование процессов помогают уменьшить количество брака. 7. Лишние движения Лишние движения операторов или оборудования могут привести к излишнему расходу энергии работников (снижая их работоспособность) и рабочего времени. Оптимизация расположения оборудования, стандартизация рабочих процессов и обучение персонала помогают сократить количество лишних движений и улучшить эффективность производства. Управление производственными потерями требует системного подхода и постоянного мониторинга производственных процессов. При правильной организации и оптимизации этих процессов предприятия могут значительно увеличить свою производительность, сократить издержки и повысить конкурентоспособность на рынке. Основные принципы бережливого производства Несмотря на то, что практическое обеспечение принципов бережливого производства требует от предприятия достаточно серьезных усилий, сами они довольно просты. Всего их пять, и сформулировать их можно так: Принципы 1. Определить, что формирует ценность продукта с позиции потребителя. На предприятии могут выполняться самые разные действия, и далеко не все из них имеют для потребителя значение. Лишь тогда, когда компания точно знает, что именно нужно конечному потребителю, она в состоянии установить, какие из процессов позволяют предоставить ему его ценности, а какие – нет. 2. Определить, какие действия обязательно нужны производственной цепи, а затем устранить потери. Чтобы оптимизировать работу и выявить потери, требуется в деталях описать каждое действие с момента получения заказа до момента поставки продукта потребителю. Благодаря этому можно установить, с помощью чего можно улучшить производственные процессы. 3. Перестроить действия в производственной цепи так, чтобы они превратились в целостный поток работ. Процесс производства должен быть выстроен так, чтобы исключались любые потери (простои, ожидания и т.д.) между операциями. Она делится на: • Техническая и структурная реорганизация • Организационная структура •  и финансы 4. Действовать, исходя из интересов потребителя. Желательно, чтобы предприятие выпускало лишь тот продукт и в таком объеме, который необходим конечному потребителю. Это позволяет избежать лишних действий, ненужных потерь и затрат. 5. Стремиться совершенствоваться, постоянно сокращая ненужные действия. Применять и реализовывать систему бережливого производства необходимо не единожды. Максимальный эффект будет только в том случае, если поиск потерь и их устранение будут проводиться регулярно и систематически. Делится на две категории: • Кайкаку — радикальные улучшения потока создания ценности • Кайдзен — процесс непрерывных улучшений, который начинается после первичной отладки системы. Не важно, насколько хорошо идут дела, всегда можно сделать лучшие и получить больше. Поэтому команда должна постоянно анализировать, оценивать и улучшать процесс и результат своей работы, создавать инструкции контроля работников и их мотивации.
3|3. Логистика запасов. Значение и основные причины накопления запасов. Затраты, связанные с содержанием запасов. Назначение и разновидности запасов (классификация).|Логистика запасов — это управление материальными запасами для обеспечения бесперебойности производственных и сбытовых процессов, а также для минимизации издержек на их хранение, закупку и транспортировку. Запасы необходимы для синхронизации производства и потребления, защиты от перебоев поставок и колебаний цен, использования оптовых закупок и обеспечения гибкости при изменениях спроса. Значение логистики запасов • Обеспечение бесперебойной работы: Запасы гарантируют непрерывное поступление сырья и материалов для производства, а также возможность выпуска и реализации готовой продукции в нужном объеме. • Минимизация издержек: Управление запасами помогает сократить затраты на закупку (за счет оптовых скидок) и транспортировку, а также избежать простоев, связанных с нехваткой ресурсов. • Гибкость и стабильность: Запасы позволяют компании адаптироваться к колебаниям спроса, обеспечивая стабильность работы в периоды высокой загрузки. • Страхование рисков: Наличие запасов снижает риск сбоев в цепочках поставок и защищает от неожиданных колебаний закупочных цен. Основные причины накопления запасов • Несоответствие производства и потребления: Основная причина — разрыв во времени и месте между производством товаров или получением материалов и их фактическим использованием или потреблением. • Защита от перебоев в поставках: Создание  позволяет избежать простоев в производстве из-за сбоев в работе поставщиков или проблем с транспортом. • Оптовые закупки: Покупка больших партий товаров позволяет получить скидки от поставщиков и снизить стоимость единицы продукции, а также сократить транспортные расходы. • Спекуляция ценами: Компании могут создавать запасы в ожидании роста цен, чтобы закупить товары по более низкой стоимости. • Сезонность и колебания спроса: Запасы помогают удовлетворить пиковый спрос в определенные периоды, когда производство не может мгновенно нарастить объемы. • Транспортировка: Запасы необходимы для обеспечения движения товаров на различных этапах производственной цепочки и в каналах сбыта, а также для компенсации времени транспортировки. Затраты на содержание запасов включают стоимость капитала, расходы на склад (аренда, персонал, коммунальные услуги), расходы на обслуживание (страхование, охрана), а также риски потерь (порча, кража, устаревание). Затраты, связанные с содержанием запасов Это расходы, возникающие при формировании и поддержании запасов. • Капитальные затраты (альтернативные издержки):Средства, вложенные в запасы, могли бы приносить доход, если бы были вложены в другие активы. • Складские расходы: • Аренда помещений и налоги: Стоимость использования складских площадей. • Персонал: Оплата труда сотрудников склада. • Обслуживание и ремонт: Расходы на содержание и ремонт оборудования склада. • Коммунальные платежи: Расходы на отопление, освещение и т.д.. • Расходы на обслуживание запасов: • Страхование: Страхование запасов от повреждений или хищений. • Охрана: Обеспечение безопасности складов. • Риски потерь: • Порча и устаревание: Потеря стоимости запасов из-за порчи, истечения срока годности или устаревания. • Хищения: Потери от краж. Назначение и разновидности запасов Запасы обеспечивают бесперебойность производственного и торгового процессов. • Назначение: • Удовлетворение спроса на товары и услуги. • Обеспечение непрерывности производственного процесса. • Защита от колебаний спроса и предложения. • Разновидности (классификация): • По стадии нахождения в производственном процессе: • : Сырье, материалы, комплектующие, необходимые для производства. • : Продукция, находящаяся на разных стадиях производства, но еще не готовая. • : Продукты, произведенные и готовые к продаже. • По месту нахождения: • : На складах предприятия. • : На складах для перепродажи. • : Товары, находящиеся в процессе доставки. • По характеру использования: • : Фактически имеющийся в наличии. • : Остаток на конец отчетного периода. • : Запас, установленный в соответствии с нормами. • : Запас, превышающий установленную норму.
4|4. Логистика запасов. Модели управления запасами. Классификация запасов АВС и XYZ|Логистика запасов — это управление потоками материальных ресурсов для обеспечения их доступности в нужное время и в нужном месте, минимизируя затраты на хранение и предотвращая дефицит. Основные модели управления запасами включают системы с фиксированным объемом заказа, с фиксированным интервалом времени, а также методы, такие как "точно в срок" (JIT) и экономичный размер заказа (EOQ). Основные концепции и цели • Цель:Обеспечить наличие необходимых запасов для бесперебойной работы бизнеса и удовлетворения потребностей клиентов. • Цели управления запасами: • Минимизация затрат: Сокращение расходов на хранение, транспортировку и обработку запасов. • Предотвращение дефицита: Обеспечение постоянного наличия товаров и материалов, чтобы не допустить остановки производства или потерь продаж. • Оптимизация потоков: Эффективное управление всеми этапами жизненного цикла запасов, от закупок до распределения. Основные модели управления запасами • Система с фиксированным размером заказа (-модель):Когда уровень запасов падает до определенного порогового значения (точки заказа), делается фиксированный заказ, размер которого определяется с учетом минимизации общих затрат. • Система с фиксированным интервалом времени:Заказы делаются через равные промежутки времени, а объем заказа варьируется для пополнения запасов до заданного уровня. •  (JIT, "точно в срок"):Получение материалов и производство продукции осуществляется непосредственно перед их использованием или продажей, минимизируя запасы и связанные с ними расходы. •  (Material Requirements Planning):Система планирования потребности в материалах, которая помогает рассчитать необходимое количество сырья и компонентов, а также сроки их поставки, исходя из производственного плана. АВС-анализ: Классификация по значимости • Цель: Разделить товары по их вкладу в общий объем продаж или прибыли за определенный период. • Методика: Товары группируются в три категории (A, B, C) на основе накопленной доли: • Группа А: Товары, обеспечивающие наибольшую долю (например, первые 80%) продаж или прибыли. • Группа В: Товары со средним вкладом, занимающие следующий диапазон долей (например, от 50% до 80%). • Группа С: Товары с наименьшим вкладом в продажи или прибыль (оставшаяся часть). XYZ-анализ: Классификация по стабильности спроса • Цель: Определить, насколько предсказуем спрос на конкретный товар. • Методика: Товары делятся на три категории (X, Y, Z) в зависимости от коэффициента вариации (изменчивости) спроса: • Группа X: Высокая стабильность спроса, изменчивость до 10%. Спрос очень предсказуем. • Группа Y: Умеренная стабильность спроса, изменчивость 10–25%. Есть колебания, связанные с сезонностью или другими факторами. • Группа Z: Нестабильный, непредсказуемый спрос, изменчивость свыше 25%. Спрос случаен и сложно прогнозируется.
5|5. Основные функциональные области логистики: логистика снабжения, логистика производства, логистика распределения, реверсивная логистика|Основные функциональные области: Логистика снабжения (закупок) Логистика производства Распределительная логистика (сбыта) Реверсивная логистика Логистика снабжения (закупок) Снабжение – функциональная область логистики, в  которой выполняются взаимосвязанные операции по бесперебойному обеспечению организации  необходимыми товарами и услугами с оптимальными  затратами ресурсов. Цель – удовлетворение потребности организации  (производственной, торговой, транспортной,  сервисной и др.) в сырье, материалах, товарах,  запасных частях, услугах с максимально возможной эффективностью и создание надежного и бесперебойного материального и (или) сервисного потока в организацию. Задачи логистики снабжения: Обеспечение производственных или сбытовых подразделений компании предметами снабжения и услугами в соответствии с их требованиями; Обеспечение нормального функционирования компании за счет бесперебойного снабжения ее ресурсами; Оптимизация затрат на закупки в составе себестоимости продукции; Обеспечение закупки предметов снабжения и услуг, соответствующих установленным стандартам качества; Осуществление эффективного управления поставщиками. Современное снабжение – это деятельность, объединяющая два функционала: Управление закупками - обеспечение организации продукцией заданного качества и  количества из правильного  источника, доставленной  вовремя, в нужное место по  правильной цене. Управление поставщиками - рационализация базы поставщиков, их отбор, координирование их работы, оценивание показателей их  функционирования и  наращивание потенциала их  деятельности Логистика производства Цель логистики в функциональной области "производство" – обеспечение своевременного, надежного, непрерывного и экономичного (эффективного) движения сырья, материальных ресурсов, незавершенного производства, инструмента между стадиями производства и рабочими местами в соответствии с планами производства и заказами потребителей. Производственная система – комплекс объектов, коллектива людей, материальных, производственных, научно-технических и информационных процессов, имеющих целью выпуск конечной продукции и обеспечение эффективного протекания производственного процесса. Производственный процесс – определенным образом упорядоченный в пространстве и во времени комплекс трудовых и естественных процессов, направленных на изготовление продукции необходимого назначения, в определенном количестве и качестве и в заданные сроки. Производственная структура – взаимосвязанная система цехов и служб предприятия. Основные положения: отказ от избыточных запасов; отказ от завышенного времени на  выполнение основных транспортно-  складских операций; устранение нерациональных  внутризаводских перевозок; отказ от изготовления серий деталей, на  которые нет заказа покупателей; устранение простоев оборудования; обязательное устранение брака; превращение поставщиков из  противостоящей стороны в  доброжелательных партнеров. Распределительная логистика (сбыта) Распределительная логистика – это управление транспортированием, складированием и всеми логистическими операциями, совершаемыми в процессе доведения готовой продукции до потребителя в соответствии с интересами и требованиями последнего, а также передачи, хранения и обработки соответствующей информации. Распределительную логистику можно рассматривать в двух аспектах: Как изучение потребностей рынка (маркетинг); Как эффективная организация транспортно-экспедиционного и складского процессов, обслуживания потребителей. Задачи распределительной логистики Задачи распределительной логистики на микроуровне: планирование процесса реализации товара; организация получения и обработки заказа; выбор вида упаковки, принятие решений о  комплектации, организация выполнения операций,  предшествующих отгрузке; организация отгрузки продукции; организация доставки и контроль транспортирования; организация послереализационного обслуживания. Задачи распределительной логистики на макроуровне: выбор схемы распределения МП (канала доведения  продукции до потребителя?); определение оптимального количества РЦ (складов); определение оптимального места расположения РЦ (складов) на обслуживаемой территории и др. Реверсивная логистика Реверсивная логистика – это процесс планирования, реализации и контроля товаропотоков, возвращающихся из сферы обращения и потребления в результате обратного распределения готовой продукции, опасных, поврежденных, просроченных и использованных товаров, тары и связанной с ними информации с целью восстановления их стоимости. Реверсивная логистика ориентирована на: предотвращение возврата продукции, сокращение объема материалов в системе прямого перемещения (чтобы меньший поток материала двигался в обратном направлении), обеспечение повторного использования и переработки материалов.
6|6. Логистическая система организации|Логистическая система (ЛС) — сложная, структурированная экономическая система, которая состоит из элементов-звеньев (подсистем), взаимосвязанных в едином процессе управления сопутствующими материальными и информационными потоками. Звеном логистической системы (ЗЛС) - некоторый экономически и функционально обособленный объект, выполняющий свою локальную цель, связанную с определенными логистическими операциями или функциями. Микрологистическая система — это  система логистики отдельного предприятия. Цель — обеспечить процессы производства  и распределения продукции с оптимальными затратами ресурсов и  требуемым уровнем сервиса. Объединение предприятий (группы  предприятий) в рамках корпораций,  финансово-промышленных групп, холдингов  образуют мезологистические системы. Большое значение в рамках таких систем придается управлению информационными потоками, поддержке единых стандартов качества, в том числе логистического  сервиса. Макрологистические системы объединяют  предприятия в рамках отраслей экономики  отдельной страны (отраслевые логистические  системы), а также они формируются для осуществления логистических функций  управления административными образованиями  (районные, городские, региональные,  национальные и другие системы). Мегалогистические (гигалогистические)  системы — это глобальные логистические  системы, объединяющие административные  макрологистические системы разных стран,  мезологистические системы корпораций и микрологистические системы отдельных  предприятий, связанных с созданием  добавленной ценности в разных странах. Логистическая цепь – упорядоченное  множество звеньев логистической системы  (поставщиков, производителей, дистрибьюторов  и т.д.) осуществляющих логистические  операции по доведению материального и  сервисного потоков до конечного потребителя. Цепь поставок – совокупность организаций,  вовлеченных в процессы и виды деятельности  по созданию ценности для конечного  потребителя; при этом товары, движущиеся по  цепи поставок, трансформируются из стадии  сырья в стадию доставки конечному  потребителю. Логистический цикл – это промежуток времени между подачей заказа и доставкой заказанной продукции или сервиса конечному потребителю.
